Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
S58	0.0401299349779214	0	0.000579279276565812	0.250564302741586	0.00309821051608044	0	0.0173936859314784	0	0.0286805067091969	0	0.341516242207747	0	0.12832412855172	0	0	0.0085125925903983	0	0.00587503627540218	0.0328480411609493	0	0.019786923202248	0.122691115858707	0	0.834525625286615	0.585448534634392
S59	0.0138743079632173	0.0153961549153108	0	0.0839153898764374	0.0479802521245057	0.0238371010565003	0	0	0.0455415838378723	0	0.131452540745009	0	0.112902082165086	0	0	0	0	0.00627777363040391	0.0198647851144175	0	0	0.49895802857124	0	0.934930279498807	0.397822461231175
S60	0.0112264168158922	0.0289285388518237	0.0462318723599546	0.131915134453751	0	0	0.0191325912448756	0.0134954571847889	0.0121081540317675	0	0.186347553410136	0	0	0.0394722391786057	0	0	0	0.0223722096568987	0.00888134597059832	0	0	0.479888486840908	0	0.880008796939782	0.504019979594953
S61	0.0578590863479568	0	0.00138211974772218	0.202733129841288	0	0.0370549958194583	0.0386230424021194	0	0	0	0.179428203786252	0	0	0	0	0	0	0.00568511188306802	0	0	0	0.477234310172135	0	0.918481057568363	0.439539480049873
S62	0.0212892037947178	0	0	0.195794459006029	0.0378678630744868	0	0	0	0.0408983704686336	0	0.248333328835843	0	0.0570695422734079	0	7.1978104509051e-05	0	0	0	0.0105161754050548	0	0	0.388159079037318	0	0.899966240839303	0.481585350707666
S63	0.0177486193751238	0	0	0.194591455961646	0	0.0258629872105886	0.0186802743886672	0	0.0303416450100825	0	0.155379367700599	0	0.0919880385800201	0	0	0	0	0.00132029093370215	0.02314420033486	0	0	0.44094312050471	0	0.914795605639625	0.452661771407962
S64	0.0167212490174544	0	0.00894527000054958	0.0918323517732011	0.0405000431338504	0.00745006532151051	0	0	0	0	0.172660740671938	0	0	0.0395066947500839	0	0.022582273605339	0	0	0.000707852330045652	0	0	0.599093459396027	0	0.935296398342937	0.37450513060652
S65	0.0317669463828817	0	0	0.0962164711163867	0.00270057111297282	0.0128499241725099	0.0122340337443223	0	0.0304910468693924	0	0.161234821791314	0	0.11065501427048	0	0.000548469293098695	0	0	0.0121490453197139	0.0205085366120471	0	0	0.508645119314881	0	0.910174847458467	0.439827159016379
S66	0.00726820312945333	0.0092265842949901	0.00128380785103337	0.151544290772121	0.0316752552477243	0.0641082112200157	0	0	0.0737444484180345	0	0.114904133017833	0.00421060799874135	0.0218707996301453	0.0112625103823481	0	0.00250947954158133	0	0.00126214205373299	0.0257951895805647	0	0	0.47933433686168	0	0.92661050012156	0.42959918539978
S67	0.0100497865405174	0	0.00120384756818806	0.202740299952806	0	0	0.0291513691319903	0	0	0	0.17532837832211	0	0	0.0225607544806828	0	0.0087966412129153	0	0.000920751078909148	0.0181795919345185	0	0	0.531068579777362	0	0.903818019281889	0.450221440380602
S68	0.0333149552238511	0	0	0	0.047611764514412	0	0	0	0	0	0.0428046141337641	0	0	0.0342274129367698	0	0	0	0	0.0282437767900407	0	0	0.813797476401162	0	0.911507413606773	0.467196201751626
S69	0.0205086734747135	0	0	0.235448340982539	0	0.0277301605753406	0	0	0.0508811690553436	0	0.227276606375641	0	0.0596115203992271	0.018245563981795	0	0	0	0	0.0197174111971907	0	0	0.34058055395821	0	0.906646251282946	0.487663238088975
S70	0	0.0169277049364153	0	0.15391542638788	0.0340557735897724	0.0505738575105203	0	0	0.0487413308748044	0	0.166608056011894	0	0.159909714838317	0.0150798271802746	0	0	0	0	0.0166443635922168	0	0	0.337543945077905	0	0.910810192747785	0.490867608015834
S71	0	0	0	0.330692702299369	0	0	0.0229922234213313	0	0.0398986319009732	0	0.34126895608416	0	0.0798045544864322	0	0.000427560302112225	0	0	0	0.0242919800291072	0	0.0100365535041576	0.150586837972357	0	0.865233127450758	0.533273185016842
S72	0.00260090203113345	0.00985055107744758	0	0.0871370329427072	0	0.00436124318163923	0	0	0.0138868516354405	0	0.123331348320466	0	0.041839236945752	0	0	0	0	0.00436834527822292	0.0274809567375762	0	0	0.685143531849615	0	0.923176561919373	0.401307117320179
S73	0.025245337916918	0.00218723971570168	0	0.184995059840672	0.0362069871609475	0	0	0	0.0606815509842645	0	0.105955962141611	0.0142723669931574	0.0364652863323399	0.0396118417567808	0	0	0	0	0.0160466128207045	0	0	0.478331754336902	0	0.908988336096026	0.456481616408044
S74	0.00894173109931806	0.00123935186920505	0	0.0899930605800143	0.0370090152559519	0	0	0	0.0366751522398383	0	0.151210272917501	0	0.0373310952461695	0	0	0.00819130748584525	0	0	0.0155627901365488	0	0	0.613846223169607	0	0.946847068637521	0.34353436731662
S75	0.000482354128715054	0.000597440502477548	0	0.0664123337038625	0.0402975622072698	0.0485080738550746	0.0106657332744268	0	0.00659862332524656	0	0.155815734089408	0	0.0809603552081072	0.0164242306266532	0	0	0	0	0.0159344698469879	0	0	0.557303089231771	0	0.91920981894741	0.412321273778901
