Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
S25	0.0346423375902674	0	0	0.0272523140592916	0	0.212739337342121	0.013135991915412	0.00694773851336668	0	0	0.0314929811615575	0.0168288516685017	0	0	0.118100978609654	0	0.0179611961067722	0.0971821342784018	0.0314733261090819	0	0	0.392242812645572	0	0.784290608851543	0.641159799374413
S26	0.0315081566022235	0	0.0119186702749011	0.0794082581286621	0	0.155177833261053	0.0465903888283622	0.0164090799148208	0.018699534338826	0	0.0268261322343824	0	0	0	0.0804633568555156	0.00385509024805097	0.0133340845858896	0.042591555020395	0.0346153607132541	0	0	0.438602498993663	0	0.903386831475283	0.501385172126809
S27	0	0.0222967694539503	0	0	0	0.076188889291351	0.00889116447524765	0.0441456295808021	0	0.0131753224540832	0.0252658276894955	0.000454374714082235	0	0	0.0305642853880978	0	0	0.0590611782215029	0	0.0737437338440844	0.00404280821541699	0.642170016671886	0	0.866168762660836	0.508389603842759
S28	0.0381985830138238	0	0.00655817350864161	0.157954783418527	0	0.254136998256893	0.033248312381138	0.0355143170131958	0.0350062506814105	0	0.0737072461115985	0	0.0672667755264047	0	0.132203821059255	0.0620261231771007	0.0342818646690801	0.0138127202322504	0.0215816390854545	0	0	0.0345023918652261	0	0.682904313621536	0.756109104664101
S29	0.049705854761122	0	0.0152419056325687	0.154858507490713	0	0.182150615765135	0.0419011834803292	0.0345115615068824	0.0105584865327396	0	0.0486532983844586	0	0.00307818625943646	0.0231624447894458	0.108436970403429	0.0483683629251413	0.0105623118538139	0.0418608361090016	0.0437714130175682	0	0	0.183178061088216	0	0.766610849951139	0.70301496441331
S30	0.0436672795623024	0	0.00615769762396804	0.0368686543393875	0	0.269469783614503	0.0144235809724931	0.0134791018303732	0.0225915453556285	0	0.027800575651264	0.00287472366911653	0	0.0125534952402696	0.0516638818827054	0.0346547686629089	0.00870979928735003	0.16442946411371	0.0236520527344418	0	0	0.267003595459578	0	0.819327339373217	0.644836695908853
S32	0.0354044769275655	0	0.00744415273502017	0	0	0.104749658881341	0	0.0188494179740886	0	0	0.0256838071281724	0.00243852980790816	0	0	0.03929740953412	0.00138108369643525	0	0.0797151578369286	0	0.044908954856944	0	0.640127350621477	0	0.877696497014312	0.488448962600703
S33	0.0154825117143072	0	0.0708891590604145	0.202569122845667	0	0.135265526112508	0.12366118527327	0.0293547421745044	0	0.00201605525866794	0.0546368630360342	0	0.0499600731543995	0.0111609845465819	0.112586504362249	0.018893492982896	0.00730100470709557	0.0124914655171698	0.046621818368929	0.00372026431585362	0.00271060907980149	0.10067861748965	0	0.676289789264015	0.769173100074975
S34	0.0599667896294005	0	0.013710735554927	0.0752011905546454	0	0.277312873569253	0.0268661177425852	0.027360197697582	0.0511643678900836	0	0.0937238338815022	0	0.0326002185268114	0.0246608451908059	0.0901637688247899	0.0381085806738282	0.0377989161668026	0.0607604026199633	0.00473691653863012	0	0	0.0858642449383894	0	0.715934568196105	0.742292729251314
S35	0.0428755731504894	0	0.00629915720100262	0.0989046283481945	0	0.160652272121571	0.0434715464562497	0.0355294322124872	0.0309935029384988	0	0.0370509416648684	0.00663291981960109	0	0.0882581182560243	0.162095283903382	0.0826022435911468	0.00796567550687347	0.00340655161845295	0.0114030348841403	0.0112109523926409	0	0.170648165934377	0	0.819568687758835	0.656425292355066
