"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA7",379.340075022524,2.52554028497695,0.572356666849796,4.4125288150784,1.02170191401417e-05,0.00222699089070277
"CACNA1E",933.63564410551,1.5859094386592,0.361495687754962,4.38707705895016,1.14884096309168e-05,0.0024655894515583
"JAK3",6205.5570684349,0.856322168879766,0.195400445317418,4.38239619919348,1.17381095798852e-05,0.00248100952483938
"MKNK1",1709.39451053552,0.947920898006948,0.21711237788752,4.36603802708126,1.26520462658381e-05,0.00263426933445434
"BMX",83.1445300828149,1.74635750285394,0.40184321709316,4.34586781254311,1.38726097970766e-05,0.00284592509807674
"EPG5",2330.66423492213,0.562713047315609,0.129637189608135,4.34067607464007,1.42044993286415e-05,0.00287177921209492
"IRAK3",2359.13828096623,1.19611845494881,0.275869750256701,4.33580866998214,1.45225224938659e-05,0.00289413126842041
"UPP1",1263.05062459782,0.887377811293631,0.205633669147703,4.31533325729963,1.59362304102745e-05,0.00313113259469479
"LOXL1",81.3614156041502,1.11861400161432,0.259828269805758,4.30520513587907,1.66831069647652e-05,0.00321350030900662
"GBP2",4350.88163957384,0.775534215185054,0.180212362724242,4.30344624231891,1.68161664915758e-05,0.00321350030900662
"GADD45G",30.9605839243643,1.06382623427264,0.247479004195882,4.29865247651718,1.71839665411927e-05,0.0032394099087789
"TPST1",195.393945837604,1.79280116191269,0.417851675609981,4.29052045632113,1.78254864312154e-05,0.00326010545417974
"SIGLEC15",115.867110617644,0.916270677412991,0.213602316262656,4.2896102132446,1.78986974485551e-05,0.00326010545417974
"ASPH",962.963388793118,1.05775915734153,0.246654740529328,4.28842014173961,1.79948473098093e-05,0.00326010545417974
"IL1R2",992.206278840618,2.04035021944422,0.476275379888056,4.28397163826479,1.83586325401587e-05,0.00328337081968223
"DSC2",554.764613954542,1.36594139193167,0.319422672458164,4.2762818976495,1.90040558237316e-05,0.00333428764650637
"P2RY14",337.070164867344,1.27583624946839,0.298447438453566,4.27491103987777,1.91213628473483e-05,0.00333428764650637
"DNAH17",1328.86611914235,1.1476598121171,0.269037512038758,4.26579848817429,1.99188507819917e-05,0.00342143101794134
"GK",2397.99138069031,1.10949207362604,0.260263663781998,4.26295418078558,2.01741897187626e-05,0.00342143101794134
"RAPGEF5",17.0113993519603,-1.2613818316737,0.296266710725188,-4.25758880768667,2.06643581603973e-05,0.00342143101794134
"FLT3",70.7466496058034,1.53002971056035,0.359394284766768,4.25724552507361,2.0696102600618e-05,0.00342143101794134
"SLC25A18",49.4073108655637,0.594968696429556,0.139807892355671,4.25561594846132,2.0847429141578e-05,0.00342143101794134
"GNLY",2592.34602653802,-1.02605611361511,0.24135668234102,-4.25120242647919,2.12625879946054e-05,0.00344898956424123
"SPATC1",50.1127414105446,2.17879625061896,0.513143073452072,4.24598199477101,2.17638108292073e-05,0.00348971449502807
"CACNB4",35.2414135639935,-1.01250183352868,0.238874129193043,-4.23864165177319,2.24876274923784e-05,0.00356480003998498
"HTRA3",7.15545074502453,2.15876798595289,0.50997870690176,4.2330551388467,2.30537954106655e-05,0.00361348815706499
"FYB1",8177.23394967504,0.674112083387294,0.159554801772959,4.22495641558024,2.38987026489389e-05,0.00370429891058554
"SLC49A3",491.837237478493,0.839358729179002,0.198970644041393,4.21850536405956,2.45927121614403e-05,0.00376998169947354
"SERPING1",1273.6216314062,1.49195656405292,0.355497338267099,4.19681500662026,2.70694864900824e-05,0.00410455800583314
"GBP1",4815.05643615405,1.08179570794539,0.258263558275075,4.18872765159218,2.8052281351631e-05,0.00420784220274465
"CLEC5A",81.5390733810826,1.5542165268047,0.372494425612053,4.17245580051549,3.01334067328033e-05,0.0044719257864107
"FKBP5",2450.53276226701,1.25818490132828,0.302528309800817,4.15889971472971,3.19784249059437e-05,0.00465475011284254
"LTF",593.974257937473,2.1097019322133,0.507321307390406,4.15851236973533,3.20326889485938e-05,0.00465475011284254
"IL27",124.919879761356,0.983499251616051,0.237294845495858,4.14462964655175,3.40363349319382e-05,0.00485674168089983
"ERI1",357.638914798138,0.848672829094256,0.204791939419666,4.14407340200598,3.41190455002282e-05,0.00485674168089983
"WARS1",2995.98921999803,0.982306267924867,0.237302265285827,4.13947278059775,3.48104898463307e-05,0.0049051144783466
"CEACAM1",718.305931236929,1.20721578042552,0.292110572905658,4.13273565697126,3.58470922091907e-05,0.0049955128935469
"GABBR1",498.81955499885,0.537683307888347,0.130168041254909,4.13068601712611,3.61682295518449e-05,0.0049955128935469
"CALCOCO2",1060.63722328385,0.459690473280129,0.111412911226319,4.12600719450133,3.69115724866427e-05,0.00500959123965382
"PLIN4",413.073401016682,1.15530540267047,0.280263670996954,4.12220891334512,3.75256639284572e-05,0.00500959123965382
"MAPK14",5528.86207248535,1.08318482338817,0.262840614740966,4.12107095570319,3.77115245983752e-05,0.00500959123965382
"CDK5RAP2",1589.97350085157,0.765512168908547,0.185936058564732,4.11707215274782,3.83715970895998e-05,0.00500959123965382
"RIPOR3",426.709604273959,0.39957098719911,0.0970843379682343,4.11571006777477,3.85989262801885e-05,0.00500959123965382
"DESI1",551.390402651172,0.441310871586116,0.107227782297979,4.1156392693056,3.86107772809868e-05,0.00500959123965382
"CLDND1",320.46457059927,-0.521080263121885,0.126641557859363,-4.11460717895269,3.8783932177965e-05,0.00500959123965382
"VCPIP1",2486.4183182269,0.423662850665592,0.103073423563257,4.11030153088481,3.95142784383004e-05,0.00505492988717618
