"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAPT",128.963650745509,-1.95759474047517,0.500252203190523,-3.91321563001614,9.10751390080909e-05,0.0357713493652941
"IL31RA",34.3940644360048,-1.54251219322294,0.398689228148633,-3.86895878874332,0.000109301112647986,0.0411810890525642
"CNR2",8.24055382079472,-2.16070945997484,0.558609472651133,-3.86801435664923,0.000109725206191331,0.0411810890525642
"CDH26",1134.07172318621,-1.24874860769962,0.324301359005782,-3.85058086567362,0.000117838013538903,0.043264482840403
"HS3ST3A1",24.4663323116006,-1.28325980274344,0.335736416668709,-3.82222403954976,0.000132253446591101,0.0466733535332565
"COL28A1",155.153409812215,1.92475410064816,0.503666343659516,3.821486436166,0.00013264971103063,0.0466733535332565
"HRH4",9.63623724359794,-2.28054075639826,0.59824270695404,-3.81206612281102,0.000137809996300571,0.0474994495412316
"RASGRP3",130.141533864503,-0.499564030329626,0.131659477822814,-3.79436436017113,0.000148022173446454,0.0499989297467431
"SLC1A7",2.19555455024487,-3.59808563359929,0.954314561436211,-3.77033504359851,0.000163028531778011,0.0539880171215456
"LRRC32",26.2831294017801,1.94529312335857,0.517529972440314,3.75880282679264,0.000170728312579836,0.0554505859838625
"IGFLR1",12.5893706446772,-1.2140435451294,0.324319823387523,-3.74335288064943,0.000181580936696188,0.05684342873772
"MAP2K6",552.235769254955,-0.62886817819342,0.168006342898526,-3.74312164257542,0.000181748188278577,0.05684342873772
"HSD11B2",433.914792446447,0.951339685609898,0.254621703475368,3.73628670543369,0.000186757721901234,0.0573482030034536
"PDK4",143.49434680628,1.00717940110968,0.27101688470324,3.71629761080212,0.000202163438763645,0.0578771459557654
"SAMD3",30.0849328070639,-0.942269171378473,0.253858067991671,-3.71179525170494,0.000205794430400447,0.0578771459557654
"OR52M1",2.17160089596924,-3.33642727405966,0.900712715277658,-3.70420803155993,0.000212052186629855,0.0578771459557654
"ISG15",8345.43852489383,-1.8682648407588,0.504433870945219,-3.70368634694971,0.000212488960189428,0.0578771459557654
"CLCNKB",64.3127599541935,1.3436485258612,0.363316651867855,3.69828500552712,0.000217061090318004,0.0578771459557654
"IFIT3",6032.8572676329,-1.61268253330126,0.438123717486532,-3.68088388949369,0.000232426835590428,0.0578771459557654
"XCR1",17.3564992652017,-1.1206030773278,0.30446730403122,-3.68053667008165,0.000232743583683533,0.0578771459557654
"FDFT1",2191.6381586731,0.497345395667866,0.135285104544216,3.67627609368714,0.000236663385532543,0.0578771459557654
"LGALS7B",233.928193289,-1.52749386247846,0.415657473732633,-3.67488607569462,0.000237955569092718,0.0578771459557654
"SFRP1",82.7938113671917,-1.14881645389981,0.312690638836715,-3.67397136727113,0.000238809505305907,0.0578771459557654
"MS4A1",35.8017037515966,-1.58117092673537,0.430414530634892,-3.67360024858601,0.000239156786508613,0.0578771459557654
"IRF4",187.415694581863,-0.992614559314485,0.270526316040819,-3.66919778394023,0.000243312786896962,0.0578771459557654
